"Titel";"Messfläche";"Aktiv";"Pfad";"Dateiname"
"521_220120_OI";360,003;TRUE;"F:\ASPEX-Auswertung_v1.0\01 - Projekte\PhD_Kerber\C10-T1600\Messwerte\521_220120_OI.csv";"521_220120_OI"
"521_220120_UA";360,003;TRUE;"F:\ASPEX-Auswertung_v1.0\01 - Projekte\PhD_Kerber\C10-T1600\Messwerte\521_220120_UA.csv";"521_220120_UA"
"524_220120_OA";360,003;FALSE;"F:\ASPEX-Auswertung_v1.0\01 - Projekte\PhD_Kerber\C10-T1600\Messwerte\524_220120_OA.csv";"524_220120_OA"
"524_220120_UI";360,003;FALSE;"F:\ASPEX-Auswertung_v1.0\01 - Projekte\PhD_Kerber\C10-T1600\Messwerte\524_220120_UI.csv";"524_220120_UI"
"530_220120_UA_v2";287,908;FALSE;"F:\ASPEX-Auswertung_v1.0\01 - Projekte\PhD_Kerber\C10-T1600\Messwerte\530_220120_UA_v2.csv";"530_220120_UA_v2"
"530_220120_UI_v2";360,003;FALSE;"F:\ASPEX-Auswertung_v1.0\01 - Projekte\PhD_Kerber\C10-T1600\Messwerte\530_220120_UI_v2.csv";"530_220120_UI_v2"
"531_220120_OA_v2";360,003;FALSE;"F:\ASPEX-Auswertung_v1.0\01 - Projekte\PhD_Kerber\C10-T1600\Messwerte\531_220120_OA_v2.csv";"531_220120_OA_v2"
"531_220120_OI_v2";360,003;FALSE;"F:\ASPEX-Auswertung_v1.0\01 - Projekte\PhD_Kerber\C10-T1600\Messwerte\531_220120_OI_v2.csv";"531_220120_OI_v2"
"532_270120_OA";360,003;FALSE;"F:\ASPEX-Auswertung_v1.0\01 - Projekte\PhD_Kerber\C10-T1600\Messwerte\532_270120_OA.csv";"532_270120_OA"
"532_270120_OI";360,003;FALSE;"F:\ASPEX-Auswertung_v1.0\01 - Projekte\PhD_Kerber\C10-T1600\Messwerte\532_270120_OI.csv";"532_270120_OI"
"532_270120_UA";360,003;FALSE;"F:\ASPEX-Auswertung_v1.0\01 - Projekte\PhD_Kerber\C10-T1600\Messwerte\532_270120_UA.csv";"532_270120_UA"
"532_270120_UI";360,003;FALSE;"F:\ASPEX-Auswertung_v1.0\01 - Projekte\PhD_Kerber\C10-T1600\Messwerte\532_270120_UI.csv";"532_270120_UI"
"533_270120_OA_v2";360,003;FALSE;"F:\ASPEX-Auswertung_v1.0\01 - Projekte\PhD_Kerber\C10-T1600\Messwerte\533_270120_OA_v2.csv";"533_270120_OA_v2"
"533_270120_OI_v2";360,003;FALSE;"F:\ASPEX-Auswertung_v1.0\01 - Projekte\PhD_Kerber\C10-T1600\Messwerte\533_270120_OI_v2.csv";"533_270120_OI_v2"
"534_270120_UA_v2";360,003;FALSE;"F:\ASPEX-Auswertung_v1.0\01 - Projekte\PhD_Kerber\C10-T1600\Messwerte\534_270120_UA_v2.csv";"534_270120_UA_v2"
"534_270120_UI_v2";287,908;FALSE;"F:\ASPEX-Auswertung_v1.0\01 - Projekte\PhD_Kerber\C10-T1600\Messwerte\534_270120_UI_v2.csv";"534_270120_UI_v2"
"535_030220_UA";360,003;FALSE;"F:\ASPEX-Auswertung_v1.0\01 - Projekte\PhD_Kerber\C10-T1600\Messwerte\535_030220_UA.csv";"535_030220_UA"
